date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-08-01 00:00:00,36,30,0.0,13.7,9,2,05:37 AM,07:38 PM,05:44 AM,07:13 PM,21,35,35,31,13,15,56,0.0,998,31,10,86,11,Gurgaon
2019-08-01 03:00:00,36,30,0.0,13.7,9,2,05:37 AM,07:38 PM,05:44 AM,07:13 PM,22,34,34,30,14,28,62,0.0,998,30,10,118,11,Gurgaon
2019-08-01 06:00:00,36,30,0.0,13.7,9,2,05:37 AM,07:38 PM,05:44 AM,07:13 PM,23,38,38,33,13,27,59,0.5,1000,33,9,127,11,Gurgaon
2019-08-01 09:00:00,36,30,0.0,13.7,9,2,05:37 AM,07:38 PM,05:44 AM,07:13 PM,22,41,41,36,15,30,44,1.6,999,36,9,129,13,Gurgaon
2019-08-01 12:00:00,36,30,0.0,13.7,9,2,05:37 AM,07:38 PM,05:44 AM,07:13 PM,22,42,42,36,14,43,43,0.0,998,36,10,112,12,Gurgaon
2019-08-01 15:00:00,36,30,0.0,13.7,9,2,05:37 AM,07:38 PM,05:44 AM,07:13 PM,22,42,42,36,14,46,43,0.0,995,36,10,100,12,Gurgaon
2019-08-01 18:00:00,36,30,0.0,13.7,9,2,05:37 AM,07:38 PM,05:44 AM,07:13 PM,23,40,40,34,13,45,51,0.0,998,34,10,99,10,Gurgaon
2019-08-01 21:00:00,36,30,0.0,13.7,9,2,05:37 AM,07:38 PM,05:44 AM,07:13 PM,23,39,39,33,13,29,55,0.3,998,33,9,123,10,Gurgaon
2019-08-02 00:00:00,38,32,0.0,13.7,8,9,06:46 AM,08:27 PM,05:44 AM,07:12 PM,23,38,38,33,13,23,56,0.6,997,33,9,123,10,Gurgaon
2019-08-02 03:00:00,38,32,0.0,13.7,8,9,06:46 AM,08:27 PM,05:44 AM,07:12 PM,23,37,37,32,10,24,58,0.7,997,32,9,116,8,Gurgaon
2019-08-02 06:00:00,38,32,0.0,13.7,8,9,06:46 AM,08:27 PM,05:44 AM,07:12 PM,22,38,38,33,12,30,51,0.6,998,33,9,122,8,Gurgaon
2019-08-02 09:00:00,38,32,0.0,13.7,8,9,06:46 AM,08:27 PM,05:44 AM,07:12 PM,21,41,41,36,15,46,42,0.6,997,36,9,123,8,Gurgaon
2019-08-02 12:00:00,38,32,0.0,13.7,8,9,06:46 AM,08:27 PM,05:44 AM,07:12 PM,21,43,43,38,13,39,39,0.0,996,38,10,117,7,Gurgaon
2019-08-02 15:00:00,38,32,0.0,13.7,8,9,06:46 AM,08:27 PM,05:44 AM,07:12 PM,22,43,43,37,8,34,41,0.0,994,37,10,113,7,Gurgaon
2019-08-02 18:00:00,38,32,0.0,13.7,8,9,06:46 AM,08:27 PM,05:44 AM,07:12 PM,23,40,40,35,10,23,51,0.0,996,35,10,99,9,Gurgaon
2019-08-02 21:00:00,38,32,0.0,13.7,8,9,06:46 AM,08:27 PM,05:44 AM,07:12 PM,23,39,39,33,14,32,55,0.3,997,33,9,101,11,Gurgaon
2019-08-03 00:00:00,38,32,0.0,13.7,9,16,07:56 AM,09:12 PM,05:45 AM,07:12 PM,22,38,38,33,14,31,55,0.1,997,33,10,106,11,Gurgaon
2019-08-03 03:00:00,38,32,0.0,13.7,9,16,07:56 AM,09:12 PM,05:45 AM,07:12 PM,22,36,36,32,13,27,58,0.1,996,32,10,112,10,Gurgaon
2019-08-03 06:00:00,38,32,0.0,13.7,9,16,07:56 AM,09:12 PM,05:45 AM,07:12 PM,23,39,39,34,13,26,52,0.1,998,34,10,119,10,Gurgaon
2019-08-03 09:00:00,38,32,0.0,13.7,9,16,07:56 AM,09:12 PM,05:45 AM,07:12 PM,21,42,42,37,12,45,40,0.2,997,37,9,117,10,Gurgaon
2019-08-03 12:00:00,38,32,0.0,13.7,9,16,07:56 AM,09:12 PM,05:45 AM,07:12 PM,21,43,43,38,10,28,38,0.0,996,38,10,109,9,Gurgaon
2019-08-03 15:00:00,38,32,0.0,13.7,9,16,07:56 AM,09:12 PM,05:45 AM,07:12 PM,21,43,43,38,11,26,38,0.0,994,38,10,118,9,Gurgaon
2019-08-03 18:00:00,38,32,0.0,13.7,9,16,07:56 AM,09:12 PM,05:45 AM,07:12 PM,24,42,42,35,8,47,51,3.4,996,35,7,127,6,Gurgaon
2019-08-03 21:00:00,38,32,0.0,13.7,9,16,07:56 AM,09:12 PM,05:45 AM,07:12 PM,23,40,40,34,8,34,55,4.3,997,34,7,125,5,Gurgaon
2019-08-04 00:00:00,38,32,0.0,13.7,8,23,09:03 AM,09:53 PM,05:45 AM,07:11 PM,24,39,39,33,12,32,61,5.4,996,33,7,106,9,Gurgaon
2019-08-04 03:00:00,38,32,0.0,13.7,8,23,09:03 AM,09:53 PM,05:45 AM,07:11 PM,24,38,38,32,10,46,62,5.5,996,32,7,111,8,Gurgaon
2019-08-04 06:00:00,38,32,0.0,13.7,8,23,09:03 AM,09:53 PM,05:45 AM,07:11 PM,23,39,39,34,6,29,54,0.0,997,34,10,123,5,Gurgaon
2019-08-04 09:00:00,38,32,0.0,13.7,8,23,09:03 AM,09:53 PM,05:45 AM,07:11 PM,22,42,42,37,4,45,42,0.4,996,37,9,205,3,Gurgaon
2019-08-04 12:00:00,38,32,0.0,13.7,8,23,09:03 AM,09:53 PM,05:45 AM,07:11 PM,21,43,43,38,4,29,39,0.0,995,38,10,274,3,Gurgaon
2019-08-04 15:00:00,38,32,0.0,13.7,8,23,09:03 AM,09:53 PM,05:45 AM,07:11 PM,22,43,43,38,6,25,40,0.0,992,38,10,184,5,Gurgaon
2019-08-04 18:00:00,38,32,0.0,13.7,8,23,09:03 AM,09:53 PM,05:45 AM,07:11 PM,23,42,42,35,5,45,49,0.0,995,35,10,254,4,Gurgaon
2019-08-04 21:00:00,38,32,0.0,13.7,8,23,09:03 AM,09:53 PM,05:45 AM,07:11 PM,23,41,41,35,4,42,50,0.0,996,35,10,253,4,Gurgaon
2019-08-05 00:00:00,39,30,0.0,13.6,8,29,10:08 AM,10:31 PM,05:46 AM,07:10 PM,25,39,39,33,7,47,63,8.5,995,33,3,144,6,Gurgaon
2019-08-05 03:00:00,39,30,0.0,13.6,8,29,10:08 AM,10:31 PM,05:46 AM,07:10 PM,24,37,37,31,6,48,67,9.6,995,31,3,131,5,Gurgaon
2019-08-05 06:00:00,39,30,0.0,13.6,8,29,10:08 AM,10:31 PM,05:46 AM,07:10 PM,23,40,40,34,5,23,56,0.0,995,34,10,112,5,Gurgaon
